course_code,semester,day_and_period,course_name_jp,capacity,type_of_class,credits,student_year,instructor,course_of_media_class,course_subtitle,language_of_the_course,learning_methods,course_objectives,learning_goals,requirements_prerequisites,attendance_and_student_conduct_policy,class_plan,textbooks,reference,grading_policy,additional_information_on_grading,special_note,office_hours,course_conducted_by_instructors_with_practical_experience
030232(知のジムナスティックス科目),秋～冬学期,火1,データマイニング,0,講義科目,2.0,"2,3,4,5,6年",松村　真宏,非該当,,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,データから特徴的なパターンやルールを発見するデータマイニングの考え方と基礎的な理論について講義する。また，課題を通してデータマイニングの実践的理解を深める。,1データの性質に応じて適切な方法で分析できる。また，分析結果を正しく解釈して意思決定に活かすことができる。,,,第1回題目:以下の順番で講義を進める。第１回　データマイニングとは第２回　応用事例第３回　フレーム問題第４回　モデルの検証第５回　データ収集第６回　データ可視化第７回　階層的クラスタリング第８回　非階層的クラスタリング第９回　決定木第１０回　Data Mining with R第１１回　アソシエーション・ルール第１２回　推薦システム第１３回　基礎統計第１４回　パラメータ推定第１５回　ナイーブベイズ分類器ただし，これはあくまでも予定であって，授業の進捗状況によって変更することもあり得る。授業時間外学習：授業の補助教材としてリーティング・アサインメントを課し，理解度を確認するための小テストを適宜行う。また，授業で習った考え方や理論についての実践的知識を習得してもらうためにｍデータを分析・考察するレポートを課す。,特に指定しない。,,評価方法／Evaluation Methods期末試験小テスト学習目標1データの性質に応じて適切な方法で分析できる。また，分析結果を正しく解釈して意思決定に活かすことができる。○○評価割合（%）／Allocation of Marks70%30%,,この科目は高度国際性涵養教育科目の性質も有しており，テキストマイニングに関するグローバルな理解にもとづく国際性を養うことも目的とします。,,
030101(知のジムナスティックス科目),春～夏学期,"火1,金3",マクロ経済,0,講義科目,4.0,"2,3,4,5,6年",小野　哲生,非該当,,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）読解: 本や論文を読解して学ぶ（例：論文要約、ウェブ情報の読解）調査: 本や論文から情報を収集したり、フィールドワークでデータを収集・分析して学ぶ（例：先行研究整理、フィールドワーク）,マクロ経済学の基本的な分析ツールを身につけることと，現実のマクロ経済問題を論理的に考える能力を習得することがこの講義の目的です．,1現実のマクロ経済現象やマクロ経済政策を，学習した分析道具を用いて評価することができるようになることが目的です．,マクロ経済学の考え方，ミクロ経済学の考え方，ミクロ経済の履修を前提とします．統計の同時履修を勧めます．,講義に出席できない場合は，CLEで配信する講義動画を視聴することで講義内容をキャッチアップすることができます．,第1回題目:国民経済計算の考え方・使い方授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第2回題目:国民経済計算の考え方・使い方授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第3回題目:資金循環表と国際収支統計授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第4回題目:資金循環表と国際収支統計授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第5回題目:労働統計授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第6回題目:マクロ経済モデルの基本的な考え方授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第7回題目:閉鎖経済の短期モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第8回題目:閉鎖経済の短期モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第9回題目:閉鎖経済の短期モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第10回題目:閉鎖経済の中期モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第11回題目:閉鎖経済の中期モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第12回題目:閉鎖経済の中期モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第13回題目:閉鎖経済の中期モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第14回題目:新しいケインジアンのマクロ経済モデル授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第15回題目:新しいケインジアンのマクロ経済モデル授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第16回題目:開放経済モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第17回題目:開放経済モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第18回題目:開放経済モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第19回題目:開放経済モデルの展開授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第20回題目:労働市場の長期モデル授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第21回題目:閉鎖経済の長期モデル授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第22回題目:閉鎖経済の長期モデル授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第23回題目:財政の長期的課題授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第24回題目:財政の長期的課題授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第25回題目:消費と投資授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第26回題目:消費と投資授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第27回題目:消費と投資授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第28回題目:マクロ経済と労働市場授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第29回題目:経済成長授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．第30回題目:金融市場と貨幣市場，その他のトピック授業時間外学習：章末の練習問題を解くことが，授業外における学習となります．,斎藤，岩本，太田，柴田，New Liberal Arts Selection マクロ経済学：新版，有斐閣，2016．ISBN 978-4-641-05384-7https://www.yuhikaku.co.jp/books/detail/9784641053847,講義中に必要に応じて指示します．,評価方法／Evaluation Methods復習クイズと期末試験の得点のいずれか高い方（補足参照）学習目標1現実のマクロ経済現象やマクロ経済政策を，学習した分析道具を用いて評価することができるようになることが目的です．○評価割合（%）／Allocation of Marks100%,次の２つの成績評価方法に基づく得点のうち，高い方を最終得点として採用します．素点をそのまま成績登録します．100点を超える場合は、100点で成績登録します．A方式：CLE上の復習クイズ，10点/回×12回＝120点満点，B方式：期末試験，120点満点．期末試験を欠席した場合，A方式で評価します．追試験は実施しません．復習クイズのスケジュールは，CLEに掲載します．,注1）履修登録は行わずにCLEへのアクセスを求める学生がいますが，聴講（ただ乗り）は認めていません．注2）復習クイズの受験にあたって，コンピュータやネットワーク等のトラブル，病気，忌引き，部活動，就職活動その他いかなる個別の事情にも対応しません．これら個別の事情を理由とした再受験等のメールによる申請にも対応しません．代わりに，100点ではなく20点を追加して120点の配点としているので，この余分の20点分で各自対応してください．注3）復習クイズと期末試験の選択制を採用しているため，個別の事情による追試験は行いません．期末試験を受験しなかった場合は，その理由の如何にかかわらず，クイズの素点合計をもって成績評価を行います（成績評価詳細情報を参照してください）．,,
030225(知のジムナスティックス科目),秋～冬学期,月2,マーケティング１,0,講義科目,2.0,"2,3,4,5,6年",勝又　壮太郎,非該当,,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,本講義では、「マーケティング」に関する基本的な事項を解説していく。,1マーケティングに関わる諸概念を理解し、現実の企業行動の分析に活用できるようになることを目標とする。,なし。,,第1回題目:イントロダクション：マーケティングとはなにか本講義では、「マーケティング」に関する基本的な事項を解説していく。授業時間外学習：次回の授業範囲を予習しておくこと。第2回題目:マーケティング・マネジメントマーケティング・マネジメント授業時間外学習：第3回題目:環境の分析環境の分析授業時間外学習：第4回題目:資源の分析資源の分析授業時間外学習：第5回題目:消費者行動分析１消費者行動分析１授業時間外学習：第6回題目:消費者行動分析２消費者行動分析２授業時間外学習：第7回題目:セグメンテーションセグメンテーション授業時間外学習：第8回題目:ターゲティングターゲティング授業時間外学習：第9回題目:ポジショニングポジショニング授業時間外学習：第10回題目:製品製品授業時間外学習：第11回題目:サービスサービス授業時間外学習：第12回題目:価格価格授業時間外学習：第13回題目:流通流通授業時間外学習：第14回題目:プロモーションプロモーション授業時間外学習：第15回題目:マーケティング・ミックスの統合マーケティング・ミックスの統合授業時間外学習：,"西本章宏, 勝又壮太郎 (2022). マーケティング, 日本評論社.ISBN: 978-4-535-80615-3.",,評価方法／Evaluation Methodsレポート・論文期末試験学習目標1マーケティングに関わる諸概念を理解し、現実の企業行動の分析に活用できるようになることを目標とする。○○評価割合（%）／Allocation of Marks50%50%,提出課題（50%）および最終試験あるいはレポート（50%）をもとに成績評価を行う予定。詳細は第1回の講義で説明する。,,,
030226(知のジムナスティックス科目),春～夏学期,火2,マーケティング２,0,講義科目,2.0,"3,4,5,6年",五十嵐　未来,非該当,マーケティングリサーチ手法の解説とプログラミング演習,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）,本講義では、マーケティング・リサーチの具体的な方法について解説していく。,1統計分析ソフトウェアRを使ったマーケティングデータの分析を行うことができるようになることを目指す。,マーケティング１を履修済みであることが望ましいが、必須とはしない。また、統計学および定量分析に関する基礎的な理解があること。,,第1回題目:講義概要授業の進め方と評価方法について説明する授業時間外学習：第2回題目:第1章　マーケティング・データの特徴と分析マーケティングリサーチの重要性とRのインストール方法・使い方を解説する授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第3回題目:第2章　データ処理の基礎Ⅰ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第4回題目:第2章　データ処理の基礎Ⅱ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第5回題目:第3章　売上データの分析Ⅰ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第6回題目:第3章　売上データの分析Ⅱ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第7回題目:第4章　選択問題の分析Ⅰ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第8回題目:第4章　選択問題の分析Ⅱ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第9回題目:第4章　選択問題の分析Ⅲ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第10回題目:第5章　複数の選択肢がある問題の分析授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第11回題目:第11章　消費者態度の測定と分析Ⅰ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第12回題目:第11章　消費者態度の測定と分析Ⅱ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第13回題目:第12章　複雑な関係の分析Ⅰ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第14回題目:第12章　複雑な関係の分析Ⅱ授業資料に沿って手法の説明とプログラミングの解説を行う授業時間外学習：該当する授業範囲について予習と復習をしっかりと行うこと第15回題目:講義のまとめこれまで学習した内容を改めておさらいする授業時間外学習：講義まとめを活用して期末試験に向けた復習を行うこと第16回題目:期末試験授業時間外学習：,"ウィラワン ドニ ダハナ, 勝又壮太郎 (2023). Rによるマーケティング・データ分析, 新世社, ISBN：978-4-88384-367-1",,評価方法／Evaluation Methodsレポート・論文期末試験学習目標1統計分析ソフトウェアRを使ったマーケティングデータの分析を行うことができるようになることを目指す。○○評価割合（%）／Allocation of Marks50%50%,授業内で複数回出題するレポート課題（50％）と期末試験（50％）の成績によって評価する,,,
030102(知のジムナスティックス科目),秋～冬学期,"水1,金3",ミクロ経済,0,講義科目,4.0,"1,2,3,4,5,6年",浦井　憲,非該当,ミクロ経済,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,ミクロ経済学（個々人の経済行動を基礎として、社会全体の状態をその数学的、論理的な帰結として記述、分析する立場）の入門コースとして、標準的な概念、知識および考え方を身に着けることを目標とする。,1ミクロ経済学理論の基礎的知識を身につけることができる。,特になし。,,第1回題目:基礎的概念部分均衡と一般均衡・静学と動学・ミクロ経済学とマクロ経済学・経済学の導入としての話授業時間外学習：復習・講義中に適宜指示する。以下も同様である。第2回題目:基礎的概念経済・商品・価値・価格・必要な数学について授業時間外学習：第3回題目:基礎的概念（メディア）経済・商品・価値・価格・必要な数学についてのまとめ授業時間外学習：第4回題目:基礎的概念消費と生産授業時間外学習：第5回題目:基礎的概念消費と生産のまとめ授業時間外学習：第6回題目:基礎的概念均衡およびミクロ経済学的世界観授業時間外学習：第7回題目:基礎的概念均衡およびミクロ経済学的世界観のまとめ授業時間外学習：第8回題目:選好と効用選好と効用授業時間外学習：第9回題目:選好と効用効用と効用まとめ授業時間外学習：第10回題目:選好と効用効用最大化点（スルツキー方程式）授業時間外学習：第11回題目:選好と効用効用最大化点のまとめ授業時間外学習：第12回題目:ゲーム論ナッシュ均衡授業時間外学習：第13回題目:ゲーム論ナッシュ均衡まとめ授業時間外学習：第14回題目:ゲーム論合理性の問題授業時間外学習：第15回題目:ゲーム論合理性の問題まとめ授業時間外学習：第16回題目:一般均衡エッジワースボックスダイアグラム授業時間外学習：第17回題目:一般均衡エッジワースボックスまとめ授業時間外学習：第18回題目:一般均衡個人所有経済とワルラス均衡授業時間外学習：第19回題目:一般均衡個人所有経済とワルラス均衡まとめ授業時間外学習：第20回題目:最適性・協力ゲーム最適性・コア授業時間外学習：第21回題目:最適性・協力ゲーム最適性・コアまとめ授業時間外学習：第22回題目:最適性・協力ゲーム厚生経済学の基本定理授業時間外学習：第23回題目:最適性・協力ゲーム厚生経済学の基本定理まとめ授業時間外学習：第24回題目:不確実性・動学と貨幣不確実性・条件付き財、世代重複モデル授業時間外学習：第25回題目:動学と貨幣・不確実性不確実性・条件付き財、世代重複モデルまとめ授業時間外学習：第26回題目:独占と寡占部分均衡分析の基礎授業時間外学習：第27回題目:独占と寡占部分均衡分析の基礎まとめ授業時間外学習：第28回題目:外部性・非対称情報コース命題・シグナリング・逆選択等授業時間外学習：第29回題目:外部性・非対称情報コース命題、シグナリング、逆選択等まとめ授業時間外学習：第30回題目:全体のまとめ全体のまとめと補足授業時間外学習：,浦井　憲・吉町昭彦／ミクロ経済学-静学的一般均衡理論からの出発-／ミネルヴァ書房／978-4-623-06268-3または浦井　憲／ミクロ経済学／培風館／978-4-563-06251-4上記２冊のうちいずれかを準備すること。,随時指定。,評価方法／Evaluation Methods期末試験小テスト学習目標1ミクロ経済学理論の基礎的知識を身につけることができる。○○評価割合（%）／Allocation of Marks50%50%,期末テストおよび講義中に複数回（３回程度）の小テストを行う。,以下の内容を順次解説する。１．基礎的概念：経済・商品・価値（３回）、２．基礎的概念：消費・生産・均衡（４回）、３．選好と効用と効用最大化点（４回）、４．ゲーム論（４回）、６．一般均衡（４回）、６．最適性と協力ゲーム理論と厚生経済学基本定理（４回）、７．動学と貨幣と不確実性（２回）、８．独占と寡占、外部性および情報と全体のまとめ（５回）。学期末に全体を通した知識を確認する目的で筆記試験をおこなう。講義時のまとめコンテンツから、似通った問題が出題される。,,
030346(知のジムナスティックス科目),春～夏学期,月1,上級マクロ経済１　【旧→上級マクロ経済Ⅰ】,0,講義科目,2.0,"3,4,5,6年",高　東也,非該当,上級マクロ経済１,英語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）討論: 学生同士や教員との間で質疑応答や意見交換を行うことで学ぶ（例：ペア・グループディスカッション、オンラインでのチャット、論文個別指導）,英文シラバスを参照,1英文シラバスを参照,英文シラバスを参照,英文シラバスを参照,第1回題目:英文シラバスを参照授業時間外学習：英文シラバスを参照,英文シラバスを参照,英文シラバスを参照,評価方法／Evaluation Methods期末試験中間試験課題学習目標1英文シラバスを参照○○○評価割合（%）／Allocation of Marks40%30%30%,英文シラバスを参照,,,
030347(知のジムナスティックス科目),秋～冬学期,水3,上級マクロ経済２　【旧→上級マクロ経済Ⅱ】,0,講義科目,2.0,"3,4,5,6年",祝迫　達郎,非該当,,英語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,"This course is the second half of the macroeconomics course for first-year graduate students. The objectives of this course are to learn some basic tools of advanced macroeconomics including dynamic optimization, infinitely-lived-agent model, and overlapping generations model, and to learn how to examine some important issues in advanced macroeconomics by using these tools.",1Students can learn basic models and standard technique for understanding Modern Macroeconomics.,"Intermediate Macroeconomics, Intermediate Microeconomics, Mathematics for Economists",,第1回題目:Introduction to continuous-time modelsSolow model (continuous time model)授業時間外学習：Students who take this course should solve Exercises and attend TA session.第2回題目:Dynamic optimization in continuous-time models: maximum principle INecessary conditions and sufficiency授業時間外学習：第3回題目:Dynamic optimization in continuous-time models: maximum principle IIProblem of infinite horizon and some examples授業時間外学習：第4回題目:Infinitely-lived agents model (continuous time model) ISocial optimum and decentralized equilibrium授業時間外学習：第5回題目:Infinitely-lived agents model (continuous time model) IIEffects of taxes授業時間外学習：第6回題目:Endogenous growth model IOne-sector model授業時間外学習：第7回題目:Endogenous growth model IITwo-sector model授業時間外学習：第8回題目:Midterm examination授業時間外学習：第9回題目:Overlapping generations model IMarket economy授業時間外学習：第10回題目:Overlapping generations model IIBubbles and bonds授業時間外学習：第11回題目:Monetary economy models IEndowment economy授業時間外学習：第12回題目:Monetary economy models IIRamsey model授業時間外学習：第13回題目:The bassic New Keynesian modelsMonetary policy授業時間外学習：第14回題目:Open economy modelsTrade balance授業時間外学習：第15回題目:Review of the lectures授業時間外学習：,,"Romer, D. (2018) Advanced Macroeconomics, 5th edBarro and Sala-i-Martin (2004) Economic Growth, 2nd ed. MIT press.Acemoglu (2009) Introduction to Modern Economic Growth, Princeton University Press.Wickens, M., (2012) Macroeconomic Theory, A Dynamic General Equilibrium Approach, 2nd ed. Princeton.",評価方法／Evaluation Methods中間試験期末試験レポート・論文学習目標1Students can learn basic models and standard technique for understanding Modern Macroeconomics.○○○評価割合（%）／Allocation of Marks35%40%25%,The course grade will be based on midterm and final examinations and assigned homework.,,,
030348(知のジムナスティックス科目),春～夏学期,火2,上級ミクロ経済１　【旧→上級ミクロ経済Ⅰ】,0,講義科目,2.0,"3,4,5,6年",石田　潤一郎,非該当,,英語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,経済学専攻大学院の1年生を対象とした通年のミクロ経済学のコースの前半である。消費と生産の理論を理解し、それらを部分均衡および一般均衡分析に用いることができるようになることを目的とする。,1学生は消費者、生産者、一般均衡の理論への基本的かつ厳密な理解を得ることができる。,学生は中級レベルのミクロ経済、および基本的な微積分・実解析・線形代数に習熟していることを前提として講義を進める。,,第1回題目:Preference and Choice (1)選好授業時間外学習：予習とTAセッション第2回題目:Preference and Choice (2)選好授業時間外学習：予習とTAセッション第3回題目:Consumer Choice (1)消費者選択授業時間外学習：予習とTAセッション第4回題目:Consumer Choice (2)消費者選択授業時間外学習：予習とTAセッション第5回題目:Classical Demand Theory (1)需要授業時間外学習：予習とTAセッション第6回題目:Classical Demand Theory (2)需要授業時間外学習：予習とTAセッション第7回題目:Production (1)生産授業時間外学習：予習とTAセッション第8回題目:Production (2)生産授業時間外学習：予習とTAセッション第9回題目:Midterm Examination中間試験授業時間外学習：予習とTAセッション第10回題目:Choice Under Uncertainty (1)不確実性授業時間外学習：予習とTAセッション第11回題目:Choice Under Uncertainty (2)不確実性授業時間外学習：予習とTAセッション第12回題目:General Equilibrium Theory (1)一般均衡授業時間外学習：予習とTAセッション第13回題目:General Equilibrium Theory (2)一般均衡授業時間外学習：予習とTAセッション第14回題目:Monopoly独占授業時間外学習：予習とTAセッション第15回題目:Externalities and Public Goods外部性と公共財授業時間外学習：予習とTAセッション第16回題目:Final examination期末試験授業時間外学習：予習とTAセッション,,"Andrew Mas-Colell, Michael Whinston and Jerry GreenMicroeconomic Theory, Oxford Unversity PressHal VarianMicroeconomic Analysis, W. W. Norton and CoMichihiro KandoriMighty Economics, Cambridge University Press",評価方法／Evaluation Methods中間試験期末試験宿題学習目標1学生は消費者、生産者、一般均衡の理論への基本的かつ厳密な理解を得ることができる。○○○評価割合（%）／Allocation of Marks30%40%30%,中間試験30％・期末試験40％・宿題30％,,,
030349(知のジムナスティックス科目),秋～冬学期,火3,上級ミクロ経済２　【旧→上級ミクロ経済Ⅱ】,0,講義科目,2.0,"3,4,5,6年",青柳　真樹,非該当,Microeconomics 2,英語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,This is an introduction to basic topics in game theory and information economics.,"1Understand the definitions of simultaneous-move and sequential-move games, and their equilibrium concepts.  Understand the formulation of information in game theory and economics.",Intermediate microeconomics.,,"第1回題目:Chapter 7See below.Basic Elements of Noncooperative Games授業時間外学習：Attendance to weekly recitations sessions.第2回題目:Chapter 8 BDominant and Dominated Strategies授業時間外学習：第3回題目:Chapter 8 CRationalizable Strategies.授業時間外学習：第4回題目:Chapter 8 DNash Equilibrium授業時間外学習：第5回題目:Chapter 8 EGame of Incomplete Information: Bayesian Nash Equilibrium授業時間外学習：第6回題目:Chapter 8 FThe Possibility of Mistakes: Treambling-Hand Perfection授業時間外学習：第7回題目:Chapter 9 BDynamic Games: Sequential Rationality, Backward Induction, and Subgame Perfection授業時間外学習：第8回題目:Chapter 9 B CSequential Rationality, Backward Induction, andSubgame PerfectionBeliefs and Sequential Rationality授業時間外学習：第9回題目:Preview Exam授業時間外学習：第10回題目:Chapter 9 CBeliefs and Sequential Rationality授業時間外学習：第11回題目:Chapter 13 BAdverse Selection, Signaling, and Screening: Informational Asymmetries and Adverse Selection授業時間外学習：第12回題目:Midterm Exam授業時間外学習：第13回題目:Chapter 13 B CInformational Asymmetries and Adverse SelectionSignaling授業時間外学習：第14回題目:Chapter 13 CSignaling授業時間外学習：第15回題目:Final Exam授業時間外学習：第16回題目:Normal form games授業時間外学習：第17回題目:Mixed strategies and Nash equilibrium授業時間外学習：第18回題目:Backward induction and subgame perfection授業時間外学習：第19回題目:Beliefs and sequential rationality授業時間外学習：第20回題目:Perfect Bayesian equilibrium授業時間外学習：第21回題目:Midterm examination授業時間外学習：第22回題目:Oligopoly models授業時間外学習：第23回題目:Bilateral bargaining授業時間外学習：第24回題目:Bilateral bargaining授業時間外学習：第25回題目:Incomplete information games and Bayes Nash equilibrium授業時間外学習：第26回題目:Signaling games授業時間外学習：第27回題目:Job market signaling授業時間外学習：第28回題目:Topics to be added授業時間外学習：第29回題目:Topics to be added授業時間外学習：第30回題目:Final examination授業時間外学習：","Microeconomic theory by MasColell, Winston, and Green.",TBA in class.,"評価方法／Evaluation Methods中間試験期末試験宿題学習目標1Understand the definitions of simultaneous-move and sequential-move games, and their equilibrium concepts.  Understand the formulation of information in game theory and economics.○○○評価割合（%）／Allocation of Marks30%40%30%","Homework assignments (20%), Midterm examination (40%), and Final examination (40%).","This course is offered as an international cultivation subject, which is aimed at fostering international understanding through the study of microeconomics.",,
030309(知のジムナスティックス科目),春～夏学期,火4,上級統計,0,講義科目,2.0,"3,4,5,6年",大屋　幸輔,非該当,,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）聴講・視聴: 講義・教材・実演を視聴して学ぶ,入門的な統計の授業の目的は統計的分析を行うための基礎知識の習得ですが，計量経済学，数理ファイナンス，金融工学などの分野では，そのような基礎的な知識だけでは必ずしも十分ではありません。この講義では中心極限定理など，その結果のみを利用してきた定理や性質に関する理解と応用分野で利用される確率，統計の知識の獲得を目的としています。,1統計的推測を正しく行うことができる。2推測方法をブラックボックスではなく、その仕組みを他者に説明できる。,入門レベルの統計学を履修し，その内容を理解している。あるいは同等の知識を有していること。また予備知識として線形代数と微分積分学の履修を履修していることが望ましい。,,第1回題目:はじめに：必要な知識と講義内容の概観講義の進め方について説明する授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第2回題目:確率変数・確率分布、および関連する事項確率変数とは何か、確率変数を定義するうえで必要な分布関数はどのように定義されているのか等について説明する。授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第3回題目:連続確率変数と離散確率変数、および関連する事項 I離散，連続確率変数の性質授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第4回題目:連続確率変数と離散確率変数、および関連する事項 II離散，連続確率変数の性質授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第5回題目:期待値と関連する事項期待値の存在に関する諸条件や関連する不等式について授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第6回題目:オークション理論と関連して Iオークション理論を理解するために必要な数理統計学の知識である順序統計量や極値分布について授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第7回題目:オークション理論と関連して IIオークション理論を理解するために必要な数理統計学の知識である順序統計量や極値分布について授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第8回題目:積率母関数積率母関数の定義およびその性質について授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第9回題目:確率変数列の収束（分布収束）分布収束の定義，中心極限定理授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第10回題目:確率変数列の収束（確率収束、その他の収束）確率収束の定義と関連する事項授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第11回題目:確率変数の変換・和の分布確率変数の変換に関する公式など授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第12回題目:統計的仮説検定 Ⅰ仮設検定の性質について授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第13回題目:統計的仮説検定 II仮設検定の性質について授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第14回題目:分布の近似法厳密な性質の導出が困難な場合の近似的性質の導出に関して授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。第15回題目:様々な統計手法これまでに説明していないその方の方法に関して授業時間外学習：毎回講義内容を復習し，自分の理解度を確認すること。,教科書は使用しない。必要に応じて資料を配布する。,講義中に必要に応じて指示する。,評価方法／Evaluation Methodsレポート・論文期末試験学習目標1統計的推測を正しく行うことができる。○○学習目標2推測方法をブラックボックスではなく、その仕組みを他者に説明できる。○○評価割合（%）／Allocation of Marks30%70%,,入門レベルでは結果のみを示されてきた統計的な性質に関して，板書を中心として解説を行なっていきますので，受講者は自分で自身の理解を助けるためのノートをとる必要があります。,,
