course_code,semester,day_and_period,course_name_jp,capacity,type_of_class,credits,student_year,instructor,course_of_media_class,course_subtitle,language_of_the_course,learning_methods,course_objectives,learning_goals,requirements_prerequisites,attendance_and_student_conduct_policy,class_plan,textbooks,reference,grading_policy,additional_information_on_grading,special_note,office_hours,course_conducted_by_instructors_with_practical_experience
090704,秋学期,金4,Chemical Engineering Science 1,0,講義科目,1.0,"2,3,4年","馬越　大,渡邉　望美",該当（学部学生がメディア授業科目を卒業要件に算入できるのは60単位が上限です。）,化学基礎工学：基礎とBio-Inspiredアプローチ,英語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）読解: 本や論文を読解して学ぶ（例：論文要約、ウェブ情報の読解）,化学プロセスをケーススタディとして、化学工学の基礎戦略を講義します。 学生は、以下に示した「Chemical Engineering」の従来戦略が理解できるようになります：(i) 物質収支(単位操作)の概念、(ii) 物理化学的アプローチ (移動現象論/平衡論)、(iii) プロセス設計手法 。 最終段階では、学生は、(iv)「Bio-Inspired化学工学」と呼ばれる自己組織系を活用した新しい戦略を学びます。,1- 化学工学(Chemical Engineering)の基礎ならびに従来戦略が理解できる2- 化学工学ならびにBio-Inspired化学工学の戦略を対比させることができる3- どのようにして新しい独自理念(Philosophy)を創成すべきか想いを馳せることができる,特に無し(予め受講すべき他科目はありません。講義の主骨格は、ほとんどの受講生が興味を持たない「化学プロセス設計」に焦点を当てます。しかし、「その戦略」を理解し、受講生自身の興味を持つ分野・研究への応用を考えてみてほしいです 。まずは参加してみてください！),ミニレポート、ミニエッセイ、ミニ試験は必須とする,第1回題目:緒言・背景化学工学(Chemical Engineering)?とBio-Inspired化学工学？その概要担当教員：授業時間外学習：各講義毎の関連情報は、「参考資料」として配布します。on demand型講義を受講する前に、一読しておけば理解が深まる。第2回題目:Scientistのアプローチ(1)移動現象論(物質移動)担当教員：授業時間外学習：各講義毎の関連情報は、「参考資料」として配布します。on demand型講義を受講する前に、一読しておけば理解が深まる。第3回題目:Scientistのアプローチ(2)相平衡(Henry則、Raoult則)担当教員：授業時間外学習：各講義毎の関連情報は、「参考資料」として配布します。on demand型講義を受講する前に、一読しておけば理解が深まる。第4回題目:Engineerのアプローチ(1)物質収支(単位操作論)担当教員：授業時間外学習：各講義毎の関連情報は、「参考資料」として配布します。on demand型講義を受講する前に、一読しておけば理解が深まる。第5回題目:Engineerのアプローチ(2)蒸留塔の設計(段型プロセス設計論)担当教員：授業時間外学習：各講義毎の関連情報は、「参考資料」として配布します。on demand型講義を受講する前に、一読しておけば理解が深まる。第6回題目:Engineerのアプローチ(3)熱交換器・吸収塔の設計(微分型プロセス設計論)担当教員：授業時間外学習：各講義毎の関連情報は、「参考資料」として配布します。on demand型講義を受講する前に、一読しておけば理解が深まる。第7回題目:Engineering Scientistのアプローチ次世代化学工学の最先端～Bio-Inspired化学工学～担当教員：授業時間外学習：各講義毎の関連情報は、「参考資料」として配布します。on demand型講義を受講する前に、一読しておけば理解が深まる。,"Separation Process Principles (2nd Ed.), J. D. Seader and Ernest J. Henley, John Wiley and Sons, Inc. (関連資料は、講義毎に配布します。)",参考資料は、「Further Reading」文書として、各講義毎に配布します。,評価方法／Evaluation Methodsレポート・論文ミニエッセイ期末試験学習目標1- 化学工学(Chemical Engineering)の基礎ならびに従来戦略が理解できる○○○学習目標2- 化学工学ならびにBio-Inspired化学工学の戦略を対比させることができる○○○学習目標3- どのようにして新しい独自理念(Philosophy)を創成すべきか想いを馳せることができる○○○評価割合（%）／Allocation of Marks40%40%20%,ミニレポート(講義(2)-(6)): 40％、ミニエッセイ (講義(1) and (7)): 40％、ミニ試験: 20％,すべての講義は、大阪大学CLEを利用して「オンデマンド」で行われます。 そのため、学生は「冬」期間中、いつでもこのコースに参加できます。 ただし、「ミニレポート」「ミニエッセイ」「ミニ試験」の「締め切り」には注意して下さい。 締め切りを過ぎた場合は、全て自動的に閉鎖されます。,金曜日17:00-18:00（JST）ただし、このクラスは「オンデマンド」形式で開講されるため、「ミニレポート」「ミニエッセイ」の「自由コメント欄」での「コメント・質問」をお勧めします。,
090705,冬学期,金4,Chemical Engineering Science 2,0,講義科目,1.0,"2,3,4年","松林　伸幸,西山　憲和,馬越　大",該当（学部学生がメディア授業科目を卒業要件に算入できるのは60単位が上限です。）,,英語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,化学プロセスの根幹を構成する各種の分子集合体は、ミセル、バイセル、ナノエマルション、リポソーム、ベシクル、ヘキサゴナル型集合体、Cubic型集合体、ラメラ型集合体など、多様性に富んでいる。分子集合体は、重要な化学材料として活用されるのみならず、DDSにおけるナノキャリアや食品工学、化粧品など、バイオ医療分野での応用にも展開されている。化学工学的な視点から、分子集合体の基礎ならびに応用に関する最先端の研究内容について講義します。,"1- 各種の分子集合体の基礎と応用の概要を理解できる- in Silico, Soft, Hardと体系的に、異なるアプローチが理解できる- 化学工学(Chemical Engineering)- 化学工学ならびにChemical Engineering Science(化学基礎工学)の戦略を対比させることができる- どのようにして新しい独自理念(Philosophy)を創成すべきか想いを馳せることができる",,,"第1回題目:化学基礎工学(Chemical Engineering Science)の概要、および、様々な最先端分野で活躍する分子集合体の概要""in-Silico""分子集合体計算化学的なアプローチによって明らかにされる分子集合体の基礎計算化学的なアプローチによって明らかにされる分子集合体の応用""Soft""分子集合体物理化学的なアプローチによる分子集合体のメソ物性の基礎分子集合体のメソ物性に基づく最先端ナノバイオ材料の設計例""Hard""分子集合体材料化学的なアプローチによる分子集合体のメソ物性の基礎分子集合体のメソ物性に基づく最先端ナノ化学材料の設計例担当教員：授業時間外学習：必要に応じて授業中に指示をします",,,"評価方法／Evaluation Methodsレポート・論文学習への参加度学習目標1- 各種の分子集合体の基礎と応用の概要を理解できる- in Silico, Soft, Hardと体系的に、異なるアプローチが理解できる- 化学工学(Chemical Engineering)- 化学工学ならびにChemical Engineering Science(化学基礎工学)の戦略を対比させることができる- どのようにして新しい独自理念(Philosophy)を創成すべきか想いを馳せることができる○○評価割合（%）／Allocation of Marks80%20%",,,,
090706,冬学期,木4,Chemical Engineering Science 3,0,講義科目,1.0,"2,3,4年",水垣　共雄,該当（学部学生がメディア授業科目を卒業要件に算入できるのは60単位が上限です。）,Introduction of Catalytic Chemistry,英語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）読解: 本や論文を読解して学ぶ（例：論文要約、ウェブ情報の読解）,"The main objective of this course is to provide a better understanding of the scientific basis and applications of catalytic chemistry. The introduction contains the history of the development of catalysis and describe how catalysts are used in relation to the development of society. In particular, the course will help students understand the relationship between the chemical industry, resources, energy, and environmental issues and catalysis, and will also introduce current state-of-the-art catalytic research. Student proposals and discussions will be required.","1By the end of this course, you should be able to :1. explain the fundamentals of catalytic chemistry,2. describe the the importance of catalysis in relation to resource and energy issues.",,"On-demand lecture. Final evaluation will be based on short quiz, short reports, a final report.","第1回題目:Introductionan overview of this course: fundamentals of catalytic chemistry担当教員：Tomoo MIZUGAKI授業時間外学習：quiz第2回題目:Global problemseconomy, natural resource, wastes, energy…担当教員：Tomoo MIZUGAKI授業時間外学習：quiz第3回題目:Catalysis and Chemical Industry 1petroleum and natural gas process担当教員：Tomoo MIZUGAKI授業時間外学習：quiz第4回題目:Catalysis and Chemical Industry 2organic chemicals, inorganic chemicals担当教員：Tomoo MIZUGAKI授業時間外学習：quiz第5回題目:Catalysis and Green ChemistryHistory of Green Chemistry, Sustainble Chemistry, and GSC担当教員：Tomoo MIZUGAKI授業時間外学習：quiz第6回題目:Catalysis for utilization of natural renewable resourceBiomass conversion担当教員：Tomoo MIZUGAKI授業時間外学習：quiz第7回題目:Catalysis for plastic economy, wrap-upthe challenge of plastics recycling and upcycling担当教員：Tomoo MIZUGAKI授業時間外学習：quiz, a short report",Additional reading material will be posted before the lectures.,,"評価方法／Evaluation Methods小テストレポート・論文学習への参加度学習目標1By the end of this course, you should be able to :1. explain the fundamentals of catalytic chemistry,2. describe the the importance of catalysis in relation to resource and energy issues.○○○評価割合（%）／Allocation of Marks30%30%40%",,"The technical depth of the content will be adjusted depending on the background knowledge of the students in the class. The various topics will be studied not only from the stand point of chemistry, but social sciences, basic sciences and engineering.",Students are encouraged to send an e-mail for any questions related to the material covered in the class,
090750,集中,他,Frontier Engineering Science 1,0,講義科目,1.0,"3,4年","馬越　大,各教員",非該当,"Biomechanical Science (Tentative Title)by Cristina Bertocchi (Associate Professor, Pontifical Catholic University of Chile / Special Appointed Associate Professor (Cross Appointment), The University of Osaka)",英語,"聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）討論: 学生同士や教員との間で質疑応答や意見交換を行うことで学ぶ（例：ペア・グループディスカッション、オンラインでのチャット、論文個別指導）Listening and watching face-to-face/online class: Listening and watching a lecture, video, or demonstration, face-to-face or via online (e.g., attending a face-to-face lecture, watching an on-demand video)",The purpose of this course is to pursue the fundamental concepts and practical methods in Engineering Science. The lecture will be given in English by faculty and/or researcher in partner organization and university.,1To understand the connection between the frontline research subjects in Engineering Science and its extension and/or application in academic and/or industrial society,Basic knowledge of Engineering Science,"Please contact the Graduate Students Section or the professor/instructor in charge when you will not be able to attend lectures due to infectious disease originating at the university, fever or bereavement when losing a loved one.",第1回題目:Biomechanical Science (1) (Tentative)Introduction (Tentative)担当教員：Assoc. Prof. Cristina Bertocchi (Prof. Shinji Deguchi)授業時間外学習：Self-Feedback (1)第2回題目:Biomechanical Science (2) (Tentative)Cytoskeleton (Tentative)担当教員：ssoc. Prof. Cristina Bertocchi (Prof. Shinji Deguchi)授業時間外学習：Self-Feedback (2)第3回題目:Biomechanical Science (3) (Tentative)Motor proteins (Tentative)担当教員：ssoc. Prof. Cristina Bertocchi (Prof. Shinji Deguchi)授業時間外学習：Self-Feedback (3)第4回題目:Biomechanical Science (4) (Tentative)Motor proteins (Tentative)担当教員：ssoc. Prof. Cristina Bertocchi (Prof. Shinji Deguchi)授業時間外学習：Self-Feedback (4)第5回題目:Biomechanical Science (5) (Tentative)Mechanotransduction (Tentative)担当教員：ssoc. Prof. Cristina Bertocchi (Prof. Shinji Deguchi)授業時間外学習：Self-Feedback (5)第6回題目:Biomechanical Science (6) (Tentative)Mechanics of cancer (Tentative)担当教員：ssoc. Prof. Cristina Bertocchi (Prof. Shinji Deguchi)授業時間外学習：Self-Feedback (6)第7回題目:Biomechanical Science (7) (Tentative)Paper discussion  (Tentative)担当教員：ssoc. Prof. Cristina Bertocchi (Prof. Shinji Deguchi)授業時間外学習：Self-Feedback (7),Hand-out materials are to be distributed.(Tentative),,評価方法／Evaluation MethodsSelf-Feedbackレポート・論文学習目標1To understand the connection between the frontline research subjects in Engineering Science and its extension and/or application in academic and/or industrial society○○評価割合（%）／Allocation of Marks40%60%,,"When students with disabilities take this course and request reasonable accommodation, please contact the Graduate Students Section or the instructor in advance and discuss the concerns.",,
090751,集中,他,Frontier Engineering Science 2,0,講義科目,1.0,"2,3,4年","馬越　大,各教員",非該当,"Science of Coffee (Tentative Title)by Tonya L Kuhl (Professor, College of Engineering, UC Davis / Special Appointed Professor (Cross Appointment), The University of Osaka)",英語,"聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）討論: 学生同士や教員との間で質疑応答や意見交換を行うことで学ぶ（例：ペア・グループディスカッション、オンラインでのチャット、論文個別指導）Listening and watching face-to-face/online class: Listening and watching a lecture, video, or demonstration, face-to-face or via online (e.g., attending a face-to-face lecture, watching an on-demand video)",The purpose of this course is to pursue the fundamental concepts and practical methods in Engineering Science. The lecture will be given in English by faculty and/or researcher in partner organization and university.,1To understand the connection between the frontline research subjects in Engineering Science and its extension and/or application in academic and/or industrial society,Basic knowledge of Engineering Science,"Please contact the Graduate Students Section or the professor/instructor in charge when you will not be able to attend lectures due to infectious disease originating at the university, fever or bereavement when losing a loved one.",第1回題目:Science of Coffee (1) (Tentative)Overview / What is coffee (Tentative)担当教員：Prof. Tonya Kuhl (Prof. Hiroshi Umakoshi)授業時間外学習：Self-Feedback (1)第2回題目:Science of Coffee (2) (Tentative)Coffee Arabica vs Rubusta (Tentative)担当教員：Prof. Tonya Kuhl (Prof. Hiroshi Umakoshi)授業時間外学習：Self-Feedback (2)第3回題目:Science of Coffee (3) (Tentative)Harvest / Roasting / Brewing Espresso (Tentative)担当教員：Prof. Tonya Kuhl (Prof. Hiroshi Umakoshi)授業時間外学習：Self-Feedback (3)第4回題目:Science of Coffee (4) (Tentative)Coffee and Society / Health and Coffee / Decafination(Tentative)担当教員：Prof. Tonya Kuhl (Prof. Hiroshi Umakoshi)授業時間外学習：Self-Feedback (4)第5回題目:Science of Coffee (5) (Tentative)Food society and Regulations (Tentative)担当教員：Prof. Tonya Kuhl (Prof. Hiroshi Umakoshi)授業時間外学習：Self-Feedback (5)第6回題目:Science of Coffee (6) (Tentative)Current Research (Tentative)担当教員：Prof. Tonya Kuhl (Prof. Hiroshi Umakoshi)授業時間外学習：Self-Feedback (6)第7回題目:Science of Coffee (7) (Tentative)Debriefing  (Tentative)担当教員：Prof. Tonya Kuhl (Prof. Hiroshi Umakoshi)授業時間外学習：Self-Feedback (7),Hand-out materials are to be distributed.(Tentative),,評価方法／Evaluation MethodsSelf-Feedbackレポート・論文学習目標1To understand the connection between the frontline research subjects in Engineering Science and its extension and/or application in academic and/or industrial society○○評価割合（%）／Allocation of Marks40%60%,,"When students with disabilities take this course and request reasonable accommodation, please contact the Graduate Students Section or the instructor in advance and discuss the concerns.Students can join the ""Coffee Lab"" experience outside class.",,
090109(知のジムナスティックス科目),秋学期,金2,アナログ電子回路 I,0,講義科目,1.0,"2,3,4年",山田　晋也,非該当,アナログ電子回路の基礎,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,半導体デバイスを用いた「アナログ電子回路」についての基礎的な知識や理解力を身につける．また，電子回路を用いた電気信号処理についての概念や一般的常識を得る．本講義は電子工学分野の最も基本的な科目の一つであり，将来，研究・開発や計測機器，研究機器，一般電気電子機器等の装置やシステムを扱う上で，必須の知識と理解力を得ることを目的とする．アナログ電子回路Iでは理想的な信号増幅器である演算増幅器を用いた回路を通じて，電子回路に関する基本的な概念を理解する．,1半導体デバイス，特に演算増幅器を用いた「アナログ電子回路」についての基礎的な知識や理解力を身につけることができる．また，電子回路を用いた電気信号処理についての概念や一般的常識を得ることができる．,"ＲＬＣ（抵抗，コイル，コンデンサ）を用いた回路について，回路理論I, II等で修得しておくこと．",学校感染症や発熱および忌引きなどで出席できない場合は，教務係および担当教員に申し出てください．,第1回題目:ガイダンス，講義ガイダンス，電子回路担当教員：授業時間外学習：各自必要に応じて復習を行う．第2回題目:講義電気回路の復習担当教員：授業時間外学習：各自必要に応じて復習を行う．第3回題目:講義，レポート課題等価回路担当教員：授業時間外学習：各自必要に応じて復習を行う．レポート課題を課す予定．第4回題目:講義，レポート課題解説演算増幅器担当教員：授業時間外学習：各自必要に応じて復習を行う．第5回題目:講義演算増幅器の基礎担当教員：授業時間外学習：各自必要に応じて復習を行う．第6回題目:講義，レポート課題演算増幅器の実際の特性，負帰還回路担当教員：授業時間外学習：各自必要に応じて復習を行う．レポート課題を課す予定．第7回題目:講義，レポート課題解説発振回路担当教員：授業時間外学習：各自必要に応じて復習を行う．第8回題目:期末試験期末試験担当教員：授業時間外学習：試験に向けて講義内容を理解する．,最初の講義で下記の参考書と教科書（テキスト）の関係に関して，説明する予定である．,樋口英世／アナログ電子回路入門／森北出版／4627761315,評価方法／Evaluation Methods期末試験出席，レポート課題学習目標1半導体デバイス，特に演算増幅器を用いた「アナログ電子回路」についての基礎的な知識や理解力を身につけることができる．また，電子回路を用いた電気信号処理についての概念や一般的常識を得ることができる．○○評価割合（%）／Allocation of Marks70%30%,期末試験での評価を基本とする．ただし，出席，課題も考慮する．,本科目の受講に際し特別な配慮を要する場合は，基礎工学研究科の教務係に事前に相談するとともに，初回授業等，早期に授業担当教員に申し出てください．,,
090006,冬学期,金2,アナログ電子回路 II,0,講義科目,1.0,"2,3,4年",山田　晋也,非該当,アナログ電子回路の基礎,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,半導体デバイスを用いた「アナログ電子回路」についての基礎的な知識や理解力を身につける．また，電子回路を用いた電気信号処理についての概念や一般的常識を得る．本講義は電子工学分野の最も基本的な科目の一つであり，将来，研究・開発や計測機器，研究機器，一般電気電子機器等の装置やシステムを扱う上で，必須の知識と理解力を得ることを目的とする．アナログ電子回路IIでは，ダイオードやトランジスタといった半導体デバイスを用いた回路を通じて，電子回路に関する基本的な概念を理解することを目的とする．,1半導体デバイスであるダイオードやトランジスタを用いた「アナログ電子回路」についての基礎的な知識や理解力を身につけることができる．また，電子回路を用いた電気信号処理についての概念や一般的常識を得ることができる．,"電気回路の基礎を回路理論I, II等で，アナログ電子回路の基本的な概念をアナログ電子回路I等で修得しておくこと．",学校感染症や発熱および忌引きなどで出席できない場合は，教務係および担当教員に申し出てください．,第1回題目:ガイダンス，講義ガイダンス，半導体とダイオード担当教員：授業時間外学習：各自必要に応じて復習を行う．第2回題目:講義トランジスタ担当教員：授業時間外学習：各自必要に応じて復習を行う．第3回題目:講義，レポート課題トランジスタ回路担当教員：授業時間外学習：各自必要に応じて復習を行う．レポート課題を課す予定．第4回題目:講義，レポート課題解説信号増幅回路担当教員：授業時間外学習：各自必要に応じて復習を行う．第5回題目:講義複合回路担当教員：授業時間外学習：各自必要に応じて復習を行う．第6回題目:講義，レポート課題差動増幅回路担当教員：授業時間外学習：各自必要に応じて復習を行う．レポート課題を課す予定．第7回題目:講義，レポート課題解説定電流，定電圧回路，電力増幅回路担当教員：授業時間外学習：各自必要に応じて復習を行う．第8回題目:期末試験期末試験担当教員：授業時間外学習：試験に向けて講義内容を理解する．,最初の講義で下記の参考書と教科書（テキスト）の関係に関して，説明する予定である．,樋口英世／アナログ電子回路入門／森北出版／4627761315,評価方法／Evaluation Methods期末試験出席，レポート課題学習目標1半導体デバイスであるダイオードやトランジスタを用いた「アナログ電子回路」についての基礎的な知識や理解力を身につけることができる．また，電子回路を用いた電気信号処理についての概念や一般的常識を得ることができる．○○評価割合（%）／Allocation of Marks70%30%,期末試験での評価を基本とする．ただし，出席，課題も考慮する．,本科目の受講に際し特別な配慮を要する場合は，基礎工学研究科の教務係に事前に相談するとともに，初回授業等，早期に授業担当教員に申し出てください．,,
090626,秋～冬学期,金4,インテリジェント制御,0,講義科目,2.0,"3,4年","櫻間　一徳,藤本　悠介",非該当,,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,近年のシステムはより高度化・複雑化している．本講義では，システム制御で履修した内容を基礎にし，このようなシステムに対する制御系設計や状態推定について学ぶ．,1高度な制御システムを設計するときに必要となる数理科学に関する知識を学び，制御システムを設計・構築できる能力を得る．,システム制御を履修していること,感染症や発熱および忌引きなどで出席できない場合は，教務係および担当教員に申し出てください。,第1回題目:1. マルチエージェントシステム2. 数学的基礎3. 合意制御14. 合意制御25. 合意制御36. 合意制御47. 被覆制御18. 被覆制御2担当教員：授業時間外学習：課題に解答して下さい第2回題目:9. 状態推定問題10. 可観測性11. 状態オブザーバ12. 最尤推定13. ベイズ推定14. ガウス分布でのベイズ推定15. カルマンフィルタ担当教員：授業時間外学習：適宜講義内容の復習をしておくこと,東俊一，永原正章ら「マルチエージェントシステムの制御」コロナ社,足立修一，丸田一郎「カルマンフィルタの基礎」東京電機大学出版局,評価方法／Evaluation Methodsレポート・論文学習目標1高度な制御システムを設計するときに必要となる数理科学に関する知識を学び，制御システムを設計・構築できる能力を得る．○評価割合（%）／Allocation of Marks100%,,本科目の受講に際し特別な配慮を要する場合は，基礎工学部の教務係に事前に相談するとともに，早期に授業担当教員に申し出てください．,メールで連絡してください．,
090002,春～夏学期,月5,エレクトロニクス,0,講義科目,2.0,"2,3,4年",若家　冨士男,非該当,,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,エレクトロニクスの知識は，電気系に限らず工学と理学の多くの分野で必要とされている。例えば化学や生物の実験を想定しても，さまざまなセンサーはエレクトロニクス機器であるし，その制御回路や PC との接続や通信もエレクトロニクスである。したがって，他分野の学生でもエレクトロニクスの基礎を学んでおくことは非常に重要である。エレクトロニクスを基礎から理解するためには，はじめに電気回路理論を学習する必要がある。この授業では線形受動回路素子から構成された交流回路の計算ができるようになることを第一の目標としている。さらに，ダイオードやトランジスタなどの非線形回路素子が組合わされてできる基本的な電子回路を理解するのが次の目標である。,1インピーダンスを説明できる。2交流回路のインピーダンス計算ができる。3簡単な電子回路の動作を説明できる。,,学校感染症や発熱および忌引きなどで出席できない場合は、教務係および担当教員に申し出てください。,第1回題目:ガイダンス，数学の準備担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第2回題目:数学の準備の続き担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第3回題目:電気回路の基礎事項（電流，電圧，グランド，端子）担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第4回題目:電気回路の基礎事項（キルヒホフの法則，直列，並列）担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第5回題目:電気回路の基礎事項（キャパシタ，インダクタ，相互インダクタンス)担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第6回題目:交流回路(正弦波と複素数表示)担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第7回題目:交流回路(簡単な回路の正弦波定常解)担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第8回題目:交流回路(共振回路，フィルタ回路)担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第9回題目:交流回路(電力)担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第10回題目:ここまでの復習と演習担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第11回題目:非線形回路(ダイオードとダイオード回路)担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第12回題目:非線形回路(ダイオードとダイオード回路)担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第13回題目:非線形回路(トランジスタとトランジスタ回路)担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第14回題目:非線形回路(トランジスタとトランジスタ回路)担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。第15回題目:ここまでの復習と演習担当教員：授業時間外学習：授業中に指示した課題についてレポートを作成する。,なし,"霜田光一，桜井捷海，エレクロニクスの基礎（新版），裳華房小澤孝夫，電気回路I [基礎・交流編]，昭晃堂D. L. Schilling, C. Belove, Electronic Circuits -Discrete and Integrated-, 2nd  edn, McGraw-Hill",評価方法／Evaluation Methods期末試験レポート・論文学習への参加度学習目標1インピーダンスを説明できる。○○○学習目標2交流回路のインピーダンス計算ができる。○○○学習目標3簡単な電子回路の動作を説明できる。○○○評価割合（%）／Allocation of Marks60%35%5%,,本科目の受講に際し特別な配慮を要する場合は、基礎工学研究科の教務係に事前に相談するとともに、初回授業等、早期に授業担当教員に申し出てください。,,
090482,春～夏学期,"月3,月4,木3,木4,木5",エレクトロニクス実験Ａ,0,実験科目,3.0,"3,4年","各教員,藤平　哲也,阿保　智,山下　隼人,石部　貴史,宇佐見　喬政,箱嶋　秀昭,DIAO ZHUO,加藤　遼",非該当,,日本語,体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）,ここではエレクトロニクスの基本である，半導体，電子回路，分布定数回路，マイクロコンピュータなどを実際の実験を通して習得します．これらを通して課題に関連した講義内容を補完し，理解を深めるとともに，測定装置の使い方，回路作製と測定の技術，実験データの取得と整理，レポートの書き方などを体験的に学習し，実験的な研究を進めるための基礎となるエレクトロニクスの知識経験を身につける．,1講義などで学んだ知識を実験によって確かめ，理解を深めることができる．オシロスコープ，デジタルマルチメータなどの装置や器具の取り扱いに習熟し，将来の実験に活用できる．実験結果を正しく整理し，実験レポートの作成ができる．将来，各自が自ら実験計画を立てて実験を行ない得る能力を培うことができる．,,学校感染症や発熱および忌引きなどで出席できない場合は、教務係および担当教員に申し出てください。,"第1回題目:以下の６つの課題について実験を行う．いくつかのグループに分け，実験を行う．１）半導体の基礎測定（半導体の導電率・移動度・透過率など基本パラメータとその測定方法について学ぶ）２）受動素子と能動素子（受動素子(C,Rなど)を用いた回路や能動素子(トランジスタ)を用いた増幅回路を作製し特性について学ぶ）３）アナログ回路の作製・特性測定（オペアンプを用いた回路を構成しその特性について学ぶ）４）FPGAとディジタル回路（FPGA上で論理ゲートを用いてデジタル回路を構成し、その動作について学ぶ）５）アナログ信号の性質と操作（周波数スペクトル，変調・復調回路などアナログ信号の性質と操作について学ぶ）６）マイクロコンピュータによる計測と制御（コンピュータを用いて計測機器の制御や電圧などの物理量の入出力について学ぶ）担当教員：授業時間外学習：エレクトロニクス実験A指導書を事前に熟読しておくこと．実験課題は，電磁気学，回路理論，電子回路，電子工学，情報処理に関連するため，これらについて予習，復習をきちんとしておくこと．実験（全6回）ごとにレポートの作成および提出が必須です．十分な時間がとれるようにして下さい．",エレクトロニクス実験A指導書を配布します．初回に，安全教育を行いますので，大阪大学が配布している「安全のための手引」が必要です．,大阪大学より配布されている安全のための手引．課題に関係した講義の教科書，資料，計測技術の入門書．なお，配布する指導書に課題ごとの参考文献を示しています．,評価方法／Evaluation Methods学習への参加度レポート・論文学習目標1講義などで学んだ知識を実験によって確かめ，理解を深めることができる．オシロスコープ，デジタルマルチメータなどの装置や器具の取り扱いに習熟し，将来の実験に活用できる．実験結果を正しく整理し，実験レポートの作成ができる．将来，各自が自ら実験計画を立てて実験を行ない得る能力を培うことができる．○○評価割合（%）／Allocation of Marks40%60%,出席（授業への参加態度）とレポート内容によって評価します．単位を取得するには，すべて出席し実験を行い，かつすべての課題に対してレポートを期限までに提出する必要があります．授業を無断で欠席した場合やレポート未提出課題があれば，原則として不合格となるので，特に留意してください．,講義の最初の日に実験に関する注意説明，安全教育および指導書の配布を行います．日時・場所の詳細はCLEへ掲示します．本科目の受講に際し特別な配慮を要する場合は，基礎工学研究科の教務係に事前に相談するとともに，初回授業等，早期に授業担当教員に申し出てください．,石部貴史(E311)　木曜　10:00〜12:00,
