course_code,semester,day_and_period,course_name_jp,capacity,type_of_class,credits,student_year,instructor,course_of_media_class,course_subtitle,language_of_the_course,learning_methods,course_objectives,learning_goals,requirements_prerequisites,attendance_and_student_conduct_policy,class_plan,textbooks,reference,grading_policy,additional_information_on_grading,special_note,office_hours,course_conducted_by_instructors_with_practical_experience
084327,集中,他,FrontierLab Mini 12（内山　進）,0,実習科目,12.0,"1,2,3,4,5,6年",内山　進,非該当,,英語,読解: 本や論文を読解して学ぶ（例：論文要約、ウェブ情報の読解）討論: 学生同士や教員との間で質疑応答や意見交換を行うことで学ぶ（例：ペア・グループディスカッション、オンラインでのチャット、論文個別指導）調査: 本や論文から情報を収集したり、フィールドワークでデータを収集・分析して学ぶ（例：先行研究整理、フィールドワーク）体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）発表: 執筆、プレゼンテーション、作品制作等により学ぶ（例：レポート作成、プレゼンテーション、ポスター発表、作品制作、ポートフォリオ）,Experience researches related to Basics of Biotechnology.,"1Students can explain the principle of Biotechnology through research planing, experiments, data analysis, discussion and presentation.",,,1題目:OrientationResearch planningExperimentsData analysisDiscussionReport at regular meetingFinal presentation授業時間外学習：Need to self study using the specified textbook.,"Carolyn A. Dehlinger, Molecular BiotechnologyISBN-13 ‏ : ‎ 978-1284031409",,"評価方法／Evaluation Methods学習への参加度レポート・論文発表学習目標1Students can explain the principle of Biotechnology through research planing, experiments, data analysis, discussion and presentation.○○○評価割合（%）／Allocation of Marks60%30%10%",,,,
084330,集中,他,FrontierLab Mini 8（菊地先生）,0,実習科目,8.0,"1,2,3,4,5,6年",菊地　和也,非該当,,英語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）,,,,,,,,,,,,
084322,集中,他,FrontierLab Mini 8（藤山　和仁）,0,実習科目,8.0,"1,2,3,4,5,6年",藤山　和仁,非該当,Exploring advanced researches and creative competency for hands-on experience,英語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）読解: 本や論文を読解して学ぶ（例：論文要約、ウェブ情報の読解）討論: 学生同士や教員との間で質疑応答や意見交換を行うことで学ぶ（例：ペア・グループディスカッション、オンラインでのチャット、論文個別指導）協同: ペアやグループで行う協同作業を通して学ぶ（例：グループによるポスター制作）調査: 本や論文から情報を収集したり、フィールドワークでデータを収集・分析して学ぶ（例：先行研究整理、フィールドワーク）体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）発表: 執筆、プレゼンテーション、作品制作等により学ぶ（例：レポート作成、プレゼンテーション、ポスター発表、作品制作、ポートフォリオ）,Exploring advanced researches and creative competency for hands-on experience,1Exploring advanced researches and creative competency for hands-on experience,,,,Textbooks will be guided by professors.,Textbooks will be guided by professors.,評価方法／Evaluation Methodsレポート・論文発表学習目標1Exploring advanced researches and creative competency for hands-on experience○○評価割合（%）／Allocation of Marks50%50%,,,,
084324,集中,他,FrontierLab Mini 8（青木　航）,0,実習科目,8.0,"1,2,3,4,5,6年",青木　航,非該当,Functional Microbiology,英語,読解: 本や論文を読解して学ぶ（例：論文要約、ウェブ情報の読解）討論: 学生同士や教員との間で質疑応答や意見交換を行うことで学ぶ（例：ペア・グループディスカッション、オンラインでのチャット、論文個別指導）体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）,"The goal of this course is to systematically develop the skills needed to lead biotechnology globally.Specifically, the course aims to help students acquire knowledge and skills in functional microbiology.",11. Students can understand and explain knowledge in functional microbiology.2. Studnets can conduct basic experimentals in functional microbiology.,Applicant for Frontier Lab Mini,,1題目:Functional microbiologyLearning knowledge and skills in functional microbiology.授業時間外学習：None.,None.,,評価方法／Evaluation Methods実技・実演学習への参加度学習目標11. Students can understand and explain knowledge in functional microbiology.2. Studnets can conduct basic experimentals in functional microbiology.○○評価割合（%）／Allocation of Marks50%50%,,,,
081414,集中,他,ものづくり自主研修 I,999,実験科目,1.0,"2,3,4年",堀　司,非該当,ものづくり自主研修 I/Independent study for Mechanical Design and Manufacturing I,日本語・英語,体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）,学生が主体となるものづくり活動を通じ，ものづくりを実践する上で必要な設計手法や理論を自主的に学び，知識や技術を習得することを目的とする．チームでプロジェクトを遂行することにより，リーダーシップやマネジメント手法についても自主的に学ぶ．,1研修を通じてものづくりの面白さ，楽しさ，また厳しさを体験することにより，エンジニアとして成長することを主眼とする．,ものづくりを対象としたチームに属しており，コンペティションへ参加し好成績を目指して活動を行うこと．,,ものづくり自主研修題目:ものづくり自主研修ものづくりの対象とするものについて，学生が主体となり，設計計画，レイアウトの作成，開発日程，理論や構造の理解・学修，デザインレビューなどについて手法や理論を学びながら実践し，これらを生かしてものづくりを実習する．また大会やコンペティションへの参加を通じてより一層のレベルアップをはかる．授業時間外学習：ものづくりを対象としたチームの活動に参加する．,例えば「自動車開発・製作マニュアル -学生フォーミュラーカーを題材として-，自動車技術会編」,,評価方法／Evaluation Methods学習への参加度学習目標1研修を通じてものづくりの面白さ，楽しさ，また厳しさを体験することにより，エンジニアとして成長することを主眼とする．○評価割合（%）／Allocation of Marks100%,活動やコンペティションへの取り組み等を総合的に考慮して評価する．,,,
081415,集中,他,ものづくり自主研修 II,999,実験科目,1.0,"2,3,4年",堀　司,非該当,ものづくり自主研修 Ⅱ/Independent study for Mechanical Design and Manufacturing Ⅱ,日本語・英語,体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）,学生が主体となるものづくり活動を通じ，ものづくりを実践する上で必要な設計手法や理論を自主的に学び，知識や技術を習得することを目的とする．チームでプロジェクトを遂行することにより，リーダーシップやマネジメント手法についても自主的に学ぶ．,1研修を通じてものづくりの面白さ，楽しさ，また厳しさを体験することにより，エンジニアとして成長することを主眼とする．,ものづくりを対象としたチームに属しており，コンペティションへ参加し好成績を目指して活動を行うこと．,,ものづくり自主研修題目:ものづくり自主研修ものづくりの対象とするものについて，学生が主体となり，設計計画，レイアウトの作成，開発日程，理論や構造の理解・学修，デザインレビューなどについて手法や理論を学びながら実践し，これらを生かしてものづくりを実習する．また大会やコンペティションへの参加を通じてより一層のレベルアップをはかる．授業時間外学習：ものづくりを対象としたチームの活動に参加する．,例えば「自動車開発・製作マニュアル -学生フォーミュラーカーを題材として-，自動車技術会編」,,評価方法／Evaluation Methods学習への参加度学習目標1研修を通じてものづくりの面白さ，楽しさ，また厳しさを体験することにより，エンジニアとして成長することを主眼とする．○評価割合（%）／Allocation of Marks100%,活動やコンペティションへの取り組み等を総合的に考慮して評価する．,,,
082142,秋～冬学期,火2,アナログ電子回路（情報）,999,講義科目,2.0,"3,4年",松岡　俊匡,非該当,,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）,電気/電子機器のほぼ全てにおいて重要な役割を果たしている半導体電子回路の中でも、特にアナログ電子回路の利用目的から実際の回路構成、設計までの基礎知識の理解を図る。,1アナログ電子回路の重要要素素子であるトランジスタやオペアンプの動作を理解し、それを用いた各種アナログ回路の動作を理解し、所望の特性を実現するための各種パラメータを決定できることを目標とする。,電子回路の基礎I・IIを履修していることが望ましい。,,第1回題目:電子回路の基本授業時間外学習：各回の講義内容に関連した練習問題を提示するので、それを解くことで内容の理解を深めること。第2回題目:半導体とダイオード授業時間外学習：同上第3回題目:バイポーラ・トランジスタとその用途授業時間外学習：同上第4回題目:増幅回路の基本授業時間外学習：同上第5回題目:MOSFETとその応用授業時間外学習：同上第6回題目:増幅回路の小信号解析授業時間外学習：同上第7回題目:カレントミラーと差動増幅回路授業時間外学習：同上第8回題目:オペアンプとフィルタ授業時間外学習：同上第9回題目:発振回路授業時間外学習：同上第10回題目:雑音授業時間外学習：同上第11回題目:サンプル・ホールド回路とスイッチド・キャパシタの基礎授業時間外学習：同上第12回題目:各種A/D変換器授業時間外学習：同上第13回題目:各種D/A変換器授業時間外学習：同上第14回題目:復習(1)授業時間外学習：同上第15回題目:復習(2)授業時間外学習：同上,永田 真 編著「アナログ電子回路」（オーム社）別途、講義資料(CLEに掲載)も用いる。,,評価方法／Evaluation Methods期末試験学習目標1アナログ電子回路の重要要素素子であるトランジスタやオペアンプの動作を理解し、それを用いた各種アナログ回路の動作を理解し、所望の特性を実現するための各種パラメータを決定できることを目標とする。○評価割合（%）／Allocation of Marks100%,学期末試験で評価する。,,随時E-Mailにて対応,
082139,秋～冬学期,火2,アナログ電子回路（電気）,999,講義科目,2.0,"2,3,4年",松岡　俊匡,非該当,,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）体験・実践: 体験・実践等の行動ならびにそれに対するフィードバックにより学ぶ（例：問題演習、機器等を使う実験、学内外実習、スポーツ等の実技、課題解決型学習、インターンシップ）,電気/電子機器のほぼ全てにおいて重要な役割を果たしている半導体電子回路の中でも、特にアナログ電子回路の利用目的から実際の回路構成、設計までの基礎知識の理解を図る。,1アナログ電子回路の重要要素素子であるトランジスタやオペアンプの動作を理解し、それを用いた各種アナログ回路の動作を理解し、所望の特性を実現するための各種パラメータを決定できることを目標とする。,電気電子回路基礎論及び電気電子回路演習を履修していることが望ましい。,,第1回題目:電子回路の基本授業時間外学習：各回の講義内容に関連した練習問題を提示するので、それを解くことで内容の理解を深めること。第2回題目:半導体とダイオード授業時間外学習：同上第3回題目:バイポーラ・トランジスタとその用途授業時間外学習：同上第4回題目:増幅回路の基本授業時間外学習：同上第5回題目:MOSFETとその応用授業時間外学習：同上第6回題目:増幅回路の小信号解析授業時間外学習：同上第7回題目:カレントミラーと差動増幅回路授業時間外学習：同上第8回題目:オペアンプとフィルタ授業時間外学習：同上第9回題目:発振回路授業時間外学習：同上第10回題目:雑音授業時間外学習：同上第11回題目:サンプル・ホールド回路とスイッチド・キャパシタの基礎授業時間外学習：同上第12回題目:各種A/D変換器授業時間外学習：同上第13回題目:各種D/A変換器授業時間外学習：同上第14回題目:復習(1)授業時間外学習：同上第15回題目:復習(2)授業時間外学習：同上,永田 真 編著「アナログ電子回路」（オーム社）別途、講義資料(CLEに掲載)も用いる。,,評価方法／Evaluation Methods期末試験学習目標1アナログ電子回路の重要要素素子であるトランジスタやオペアンプの動作を理解し、それを用いた各種アナログ回路の動作を理解し、所望の特性を実現するための各種パラメータを決定できることを目標とする。○評価割合（%）／Allocation of Marks100%,学期末試験で評価する。,,随時E-Mailにて対応,
082362,春～夏学期,金4,イノベーションデザイン,999,講義科目,2.0,"3,4年","森　勇介,光井　將一",該当（学部学生がメディア授業科目を卒業要件に算入できるのは60単位が上限です。）,,日本語,聴講・視聴: 講義・教材・実演を視聴して学ぶ（例：講義の対面受講、オンデマンド教材視聴）,基礎研究で創出したイノベーションシーズを社会で役に立つように事業化に繋げるプロセスを学ぶ。具体的にはベンチャー起業や企業での事業化に関する体験談を聞きながら、大学や企業における基礎研究の位置づけや、それらの成果を如何にして事業化に繋げて行けたのか、またそのためにはどのような能力が必要になるのか、に関して実感できるように講義を組み立てている。本講義は電気電子情報通信専攻イノベーションデザインコースへの導入教育と位置付けている。,1大学や企業における基礎研究の位置づけや、それらの成果を如何にしてベンチャー起業や企業での事業化に繋げて行けたのか、またそのためにはどのような能力が必要になるのかを学ぶ。,,,第1回題目:ベンチャー起業や企業での事業化に関する体験談からより直接的に学べるように工夫を施している。（15回）授業時間外学習：エレクトロニクス分野等の技術のビジネス動向を新聞等で学ぶことが望ましい,,,評価方法／Evaluation Methods学習への参加度学習目標1大学や企業における基礎研究の位置づけや、それらの成果を如何にしてベンチャー起業や企業での事業化に繋げて行けたのか、またそのためにはどのような能力が必要になるのかを学ぶ。○評価割合（%）／Allocation of Marks100%,,,,
081301,集中,他,インターンシップ(マテ),999,実習科目,1.0,"3,4年","マテリアル科学コース全教員,土谷　博昭,安田　弘行",非該当,インターンシップ,日本語・英語,,夏期休業中１-２週間、企業の現場あるいは研究所などにおいて、材料の製造、開発、応用について体験して学び、将来の研究、進路選定の知見を得る。,1将来の研究、進路選定の知見を得る。,特にないが、安全に関して理解していること。,,1題目:インターンシップ先の指示に従うこと。授業時間外学習：企業での実習,なし,なし,評価方法／Evaluation Methodsレポート・論文学習目標1将来の研究、進路選定の知見を得る。○評価割合（%）／Allocation of Marks100%,実習レポートおよび受け入れ先担当者の評価,日本語でのコミュニケーションが必要。,随時,実際に企業で活動されている方々に、実務指導を行っていただいている。
